Temperature,HeartRate,HRV,SleepIndex,Tindex
36.77,60.00,0.00,0,0
37.22,60.50,0.00,0,0
37.24,59.50,0.00,1,0
37.00,60.50,0.00,0,0
36.97,60.00,0.00,0,0
37.01,60.00,0.00,0,0
36.89,60.00,0.00,0,0
37.05,60.50,0.00,0,0
37.10,60.50,0.00,0,0
37.05,60.50,0.00,0,0
36.98,60.50,0.00,0,0
37.19,60.50,0.00,0,0
36.99,60.50,0.00,0,0
37.04,60.50,0.00,0,0
37.29,60.50,0.00,0,0
37.25,60.50,0.00,0,0
37.10,60.50,0.00,0,0
37.30,60.50,0.00,0,0
37.31,60.50,0.00,0,0
37.06,60.50,0.00,0,0
37.29,60.50,0.00,0,0
37.18,60.50,0.00,0,0
37.30,60.50,0.00,0,0
37.29,60.50,0.00,0,0
37.18,60.50,0.00,0,0
37.31,60.50,0.00,0,0
37.21,60.50,0.00,0,0
37.53,60.50,0.00,0,0
37.33,60.50,0.00,0,0
37.54,60.50,0.00,0,0
37.24,60.50,0.00,0,0
37.23,60.50,0.00,0,0
37.38,60.50,0.00,0,0
37.39,60.50,0.00,0,0
37.53,60.50,0.00,0,0
37.15,60.50,0.00,0,0
37.41,60.50,0.00,0,0
37.41,60.50,0.00,0,0
37.27,60.50,0.00,0,0
37.14,60.50,0.00,0,0
37.41,60.50,0.00,0,0
37.22,60.50,0.00,0,0
37.37,60.50,0.00,0,0
37.52,60.50,0.00,0,0
37.27,60.50,0.00,0,0
37.31,60.50,0.00,0,0
37.34,60.50,0.00,0,0
37.21,60.50,0.00,0,0
37.15,60.50,0.00,0,0
37.22,60.50,0.00,0,0
37.25,60.50,0.00,0,0
37.15,60.50,0.00,0,0
37.25,60.50,0.00,0,0
37.38,50.00,2.16,0,0
37.08,60.00,2.16,0,0
37.36,60.50,2.16,0,0
36.97,60.00,2.16,0,0
37.08,60.00,2.16,0,0
37.28,59.50,0.00,1,0
37.28,60.50,0.00,0,0
37.25,60.50,0.00,0,0
37.17,60.00,0.00,0,0
37.13,59.50,0.00,1,0
37.04,60.00,0.00,0,0
36.90,61.02,0.00,0,0
36.87,60.00,0.00,0,0
36.52,60.00,0.00,0,0
36.18,59.50,0.00,1,0
35.13,60.00,0.00,0,1
34.94,60.50,0.00,0,1
35.09,60.50,0.00,0,1
35.02,60.00,0.00,0,1
34.94,60.00,0.00,0,1
35.02,60.00,0.00,0,1
34.90,60.00,0.00,0,1
34.39,60.00,0.00,0,1
34.61,60.00,0.00,0,1
34.80,60.00,0.00,0,1
34.75,60.00,0.00,0,1
34.69,60.00,0.00,0,1
34.84,60.00,0.00,0,1
34.99,60.00,0.00,0,1
35.31,60.00,0.00,0,1
34.79,60.00,0.00,0,1
35.00,50.00,0.58,0,1
34.83,60.00,0.58,0,1
34.88,60.00,0.58,0,1
35.16,60.00,0.58,0,1
35.17,60.00,0.58,0,1
34.77,60.50,0.00,0,1
35.15,60.00,0.00,0,1
34.86,60.00,0.00,0,1
35.11,60.00,0.00,0,1
35.19,60.00,0.00,0,1
35.09,60.50,0.00,0,1
34.91,60.00,0.00,0,1
35.07,60.00,0.00,0,1
35.11,60.00,0.00,0,1
34.89,60.00,0.00,0,1
35.05,59.50,0.00,1,1
34.90,60.50,0.00,0,1
35.05,60.50,0.00,0,1
34.84,60.00,0.00,0,1
34.88,60.00,0.00,0,1
34.87,60.00,0.00,0,1
34.90,59.50,0.00,1,1
34.88,61.02,0.00,0,1
34.71,60.00,0.00,0,1
34.77,60.00,0.00,0,1
34.94,60.00,0.00,0,1
34.99,59.50,0.00,1,1
34.90,60.50,0.00,0,1
34.71,60.50,0.00,0,1
35.10,60.00,0.00,0,1
35.07,60.00,0.00,0,1
35.03,59.50,0.00,1,1
34.85,60.50,0.00,0,1
34.94,60.50,0.00,0,1
34.74,60.50,0.00,0,1
35.11,60.50,0.00,0,1
35.21,60.50,0.00,0,1
35.02,60.50,0.00,0,1
34.90,60.50,0.00,0,1
34.89,60.50,0.00,0,1
34.89,60.50,0.00,0,1
34.77,60.50,0.00,0,1
34.81,60.50,0.00,0,1
34.95,60.50,0.00,0,1
34.93,60.50,0.00,0,1
34.72,60.50,0.00,0,1
34.85,50.00,0.58,0,1
34.89,50.00,0.58,0,1
34.87,50.00,0.58,0,1
34.82,50.00,0.56,0,1
35.09,60.00,0.56,0,1
34.83,60.00,0.56,0,1
34.78,60.00,0.56,0,1
34.88,61.02,0.10,0,1
34.67,59.50,0.00,1,1
34.86,60.00,0.00,0,1
34.94,60.00,0.00,0,1
34.77,60.00,0.00,0,1
34.79,60.50,0.00,0,1
34.91,59.50,0.00,1,1
35.06,60.50,0.00,0,1
34.86,60.00,0.00,0,1
34.92,60.00,0.00,0,1
34.79,60.00,0.00,0,1
34.59,60.00,0.00,0,1
34.91,60.00,0.00,0,1
34.94,60.00,0.00,0,1
34.77,60.00,0.00,0,1
34.95,60.00,0.00,0,1
34.79,60.00,0.00,0,1
34.73,60.00,0.00,0,1
34.71,60.00,0.00,0,1
34.61,60.00,0.00,0,1
34.81,60.00,0.00,0,1
34.73,60.00,0.00,0,1
34.48,60.00,0.00,0,1
34.77,60.00,0.00,0,1
34.53,60.00,0.00,0,1
34.07,60.00,0.00,0,1
34.19,60.00,0.00,0,1
33.47,60.00,0.00,0,1
34.09,60.00,0.00,0,1
33.60,60.00,0.00,0,1
33.62,60.00,0.00,0,1
33.38,60.00,0.00,0,1
33.53,60.00,0.00,0,1
33.30,50.00,1.10,0,1
33.43,60.00,1.10,0,1
33.07,60.00,1.10,0,1
32.63,60.00,1.10,0,1
32.97,61.02,1.10,0,1
32.66,60.00,0.00,0,1
32.65,60.00,0.00,0,1
